blocks,extractions,value of pi,error
1,10000000,3.14215,0
2,20000000,3.14201,0.000141172
3,30000000,3.14138,0.000630602
4,40000000,3.14193,0.000709135
5,50000000,3.14168,0.000604172
6,60000000,3.14173,0.000496074
7,70000000,3.14158,0.000447171
8,80000000,3.14148,0.000398566
9,90000000,3.1417,0.000414472
10,100000000,3.14164,0.000376228
11,110000000,3.14164,0.000340317
12,120000000,3.14161,0.00031212
13,130000000,3.14158,0.000288129
14,140000000,3.14162,0.000269658
15,150000000,3.14166,0.000254018
16,160000000,3.14164,0.000238422
17,170000000,3.1416,0.000227144
18,180000000,3.14164,0.000217098
19,190000000,3.14166,0.000207007
20,200000000,3.14171,0.000200943
21,210000000,3.1417,0.000191314
22,220000000,3.14174,0.000186241
23,230000000,3.14169,0.000183934
24,240000000,3.14171,0.00017691
25,250000000,3.14169,0.000170498
26,260000000,3.1417,0.000164437
27,270000000,3.14167,0.000161611
28,280000000,3.14171,0.000159531
29,290000000,3.14171,0.000154054
30,300000000,3.14166,0.000158753
31,310000000,3.14164,0.000154853
32,320000000,3.14161,0.000153031
33,330000000,3.14159,0.000148978
34,340000000,3.14161,0.000145721
35,350000000,3.14161,0.000141499
36,360000000,3.14161,0.000137526
37,370000000,3.14159,0.000136585
38,380000000,3.14157,0.000134102
39,390000000,3.14156,0.000131064
40,400000000,3.14161,0.000136452
41,410000000,3.1416,0.000133244
42,420000000,3.14161,0.000130232
43,430000000,3.14161,0.000127212
44,440000000,3.14163,0.000126568
45,450000000,3.1416,0.000127396
46,460000000,3.14162,0.00012531
47,470000000,3.1416,0.000123321
48,480000000,3.14161,0.000120763
49,490000000,3.14164,0.000122129
50,500000000,3.14164,0.000119715
51,510000000,3.14166,0.000119581
52,520000000,3.14164,0.000119155
53,530000000,3.14163,0.000117566
54,540000000,3.14164,0.000115863
55,550000000,3.14163,0.000114121
56,560000000,3.14166,0.000115084
57,570000000,3.14166,0.00011306
58,580000000,3.14165,0.000111181
59,590000000,3.14164,0.000109663
60,600000000,3.14163,0.000108173
61,610000000,3.14164,0.000106956
62,620000000,3.14165,0.000105526
63,630000000,3.14166,0.000104369
64,640000000,3.14164,0.000104391
65,650000000,3.14163,0.000104263
66,660000000,3.14164,0.000104223
67,670000000,3.14167,0.000104901
68,680000000,3.14164,0.000107351
69,690000000,3.14161,0.000108622
70,700000000,3.14162,0.000107322
71,710000000,3.14162,0.000105813
72,720000000,3.14161,0.000104451
73,730000000,3.14161,0.000103019
74,740000000,3.14161,0.000102062
75,750000000,3.14159,0.000101481
76,760000000,3.14157,0.000102093
77,770000000,3.14157,0.000100985
78,780000000,3.14157,9.96828e-05
79,790000000,3.14155,9.89798e-05
80,800000000,3.14154,9.86721e-05
81,810000000,3.14156,9.86994e-05
82,820000000,3.14157,9.90668e-05
83,830000000,3.14157,9.78705e-05
84,840000000,3.14159,9.7634e-05
85,850000000,3.14158,9.6535e-05
86,860000000,3.14159,9.54296e-05
87,870000000,3.14158,9.43976e-05
88,880000000,3.14159,9.34688e-05
89,890000000,3.14156,9.53256e-05
90,900000000,3.14157,9.4804e-05
91,910000000,3.14158,9.38087e-05
92,920000000,3.14158,9.29085e-05
93,930000000,3.14159,9.19595e-05
94,940000000,3.14158,9.11705e-05
95,950000000,3.14158,9.02151e-05
96,960000000,3.14157,8.9353e-05
97,970000000,3.14158,8.88537e-05
98,980000000,3.14157,8.83691e-05
99,990000000,3.14157,8.74937e-05
100,1000000000,3.14157,8.68516e-05
