blocks,extractions,integral,error
1,10000,1.00054,0
2,20000,1.00103,0.000490024
3,30000,1.00007,0.000997086
4,40000,1.00024,0.000724778
5,50000,1.00072,0.000736023
6,60000,1.00087,0.000620408
7,70000,1.00096,0.000531022
8,80000,1.00087,0.000467743
9,90000,1.00063,0.000477838
10,100000,1.00066,0.000428249
11,110000,1.00055,0.000402585
12,120000,1.00045,0.000378864
13,130000,1.00054,0.000360144
14,140000,1.00053,0.000333754
15,150000,1.00045,0.000322066
16,160000,1.00029,0.000338015
17,170000,1.00034,0.000321679
18,180000,1.00029,0.000308326
19,190000,1.00033,0.000294933
20,200000,1.00039,0.00028507
21,210000,1.00041,0.000272579
22,220000,1.00039,0.000260675
23,230000,1.00026,0.000285129
24,240000,1.0003,0.00027617
25,250000,1.00038,0.000276523
26,260000,1.00035,0.000266929
27,270000,1.00047,0.000284364
28,280000,1.00055,0.000285887
29,290000,1.00056,0.00027587
30,300000,1.00053,0.000267802
31,310000,1.00053,0.00025902
32,320000,1.00048,0.000256176
33,330000,1.00041,0.00025723
34,340000,1.00037,0.00025237
35,350000,1.00032,0.000250346
36,360000,1.00035,0.000244686
37,370000,1.00039,0.000240991
38,380000,1.00038,0.000234595
39,390000,1.00042,0.000231802
40,400000,1.00041,0.000226584
41,410000,1.00042,0.000221357
42,420000,1.00043,0.0002164
43,430000,1.00041,0.000212175
44,440000,1.00036,0.000214913
45,450000,1.00041,0.00021747
46,460000,1.00039,0.00021338
47,470000,1.00035,0.000214128
48,480000,1.00028,0.00022095
49,490000,1.00026,0.000216804
50,500000,1.00027,0.000212626
51,510000,1.00024,0.000211588
52,520000,1.00024,0.000207535
53,530000,1.00024,0.000203608
54,540000,1.00019,0.000204629
55,550000,1.00021,0.000201362
56,560000,1.00021,0.000197834
57,570000,1.00021,0.000194374
58,580000,1.00021,0.000191005
59,590000,1.00022,0.000188022
60,600000,1.00021,0.000185192
61,610000,1.00018,0.000184299
62,620000,1.00016,0.000182069
63,630000,1.00014,0.00018063
64,640000,1.00013,0.000178206
65,650000,1.0001,0.000177237
66,660000,1.0001,0.000174536
67,670000,1.00009,0.000172361
68,680000,1.00011,0.000171502
69,690000,1.0001,0.000169492
70,700000,1.00013,0.000169413
71,710000,1.00013,0.000167066
72,720000,1.00014,0.000164847
73,730000,1.00015,0.000162673
74,740000,1.00015,0.000160592
75,750000,1.00015,0.000158436
76,760000,1.00015,0.000156386
77,770000,1.00014,0.000154496
78,780000,1.00013,0.00015273
79,790000,1.00011,0.000152139
80,800000,1.00012,0.000150301
81,810000,1.00012,0.000148496
82,820000,1.00011,0.000147685
83,830000,1.00009,0.000146573
84,840000,1.00007,0.000145833
85,850000,1.00005,0.000145921
86,860000,1.00003,0.000145148
87,870000,1.00005,0.000144129
88,880000,1.00005,0.000142482
89,890000,1.00005,0.000140873
90,900000,1.00003,0.000140492
91,910000,1.00006,0.000142404
92,920000,1.00006,0.000140849
93,930000,1.00005,0.000139997
94,940000,1.00005,0.000138553
95,950000,1.00006,0.00013737
96,960000,1.00009,0.000138288
97,970000,1.00007,0.000137931
98,980000,1.00007,0.000136516
99,990000,1.00006,0.000135606
100,1000000,1.00006,0.000134265
