blocks,extractions,profit,error
1,10000,5.54663,0
2,20000,5.49142,0.0552103
3,30000,5.47778,0.0346716
4,40000,5.46923,0.0259653
5,50000,5.47459,0.0208141
6,60000,5.46959,0.0177152
7,70000,5.45484,0.0210169
8,80000,5.43356,0.0280021
9,90000,5.44227,0.0261856
10,100000,5.44982,0.0246084
11,110000,5.44945,0.0222622
12,120000,5.44547,0.020708
13,130000,5.45003,0.0195864
14,140000,5.45731,0.019542
15,150000,5.44324,0.0230012
16,160000,5.45234,0.0233602
17,170000,5.45453,0.022052
18,180000,5.44862,0.0216139
19,190000,5.46001,0.0234056
20,200000,5.46884,0.0238944
21,210000,5.47306,0.0231166
22,220000,5.47323,0.0220414
23,230000,5.47321,0.0210613
24,240000,5.47268,0.0201718
25,250000,5.4642,0.0211259
26,260000,5.46636,0.0204119
27,270000,5.46709,0.0196549
28,280000,5.46532,0.0190224
29,290000,5.46332,0.0184628
30,300000,5.45962,0.0182178
31,310000,5.45494,0.0182312
32,320000,5.45335,0.0177235
33,330000,5.45529,0.0172876
34,340000,5.45354,0.016863
35,350000,5.45139,0.016515
36,360000,5.45801,0.0173627
37,370000,5.45863,0.0168981
38,380000,5.45866,0.0164475
39,390000,5.46066,0.0161442
40,400000,5.46805,0.0173849
41,410000,5.46901,0.0169828
42,420000,5.46631,0.0167923
43,430000,5.4642,0.016533
44,440000,5.46287,0.0162068
45,450000,5.46021,0.0160645
46,460000,5.46308,0.0159703
47,470000,5.46186,0.0156741
48,480000,5.46021,0.0154327
49,490000,5.45885,0.0151753
50,500000,5.45842,0.0148751
51,510000,5.45762,0.014602
52,520000,5.45707,0.0143292
53,530000,5.45714,0.0140564
54,540000,5.45562,0.0138764
55,550000,5.45732,0.0137268
56,560000,5.45743,0.01348
57,570000,5.45748,0.0132414
58,580000,5.45792,0.0130185
59,590000,5.45493,0.0131414
60,600000,5.45425,0.0129379
61,610000,5.45243,0.0128543
62,620000,5.4503,0.0128227
63,630000,5.44941,0.012649
64,640000,5.44916,0.0124523
65,650000,5.45043,0.0123244
66,660000,5.45155,0.012188
67,670000,5.45075,0.0120314
68,680000,5.45114,0.0118596
69,690000,5.44947,0.011805
70,700000,5.44834,0.01169
71,710000,5.44951,0.0115835
72,720000,5.4475,0.0115966
73,730000,5.44456,0.0118091
74,740000,5.4459,0.0117247
75,750000,5.44647,0.0115816
76,760000,5.4459,0.0114424
77,770000,5.44412,0.0114329
78,780000,5.44408,0.0112854
79,790000,5.44491,0.0111724
80,800000,5.44618,0.0111043
81,810000,5.4471,0.0110054
82,820000,5.4455,0.0109877
83,830000,5.44556,0.0108547
84,840000,5.44729,0.0108638
85,850000,5.44829,0.0107811
86,860000,5.44771,0.0106704
87,870000,5.44773,0.010547
88,880000,5.44836,0.0104456
89,890000,5.44866,0.0103319
90,900000,5.44726,0.0103124
91,910000,5.44509,0.0104264
92,920000,5.4454,0.0103171
93,930000,5.44736,0.0103933
94,940000,5.44675,0.0103006
95,950000,5.44899,0.0104349
96,960000,5.44884,0.0103267
97,970000,5.44911,0.0102231
98,980000,5.44858,0.0101322
99,990000,5.44956,0.0100776
100,1000000,5.45104,0.0100862
