DISTANCE,AVE_GOFR,ERROR
1,0,0,0
2,0.0230664,0,0
3,0.0461329,0,0
4,0.0691993,0,0
5,0.0922657,0,0
6,0.115332,0,0
7,0.138399,0,0
8,0.161465,0,0
9,0.184531,0,0
10,0.207598,0,0
11,0.230664,0,0
12,0.253731,0,0
13,0.276797,0,0
14,0.299864,0,0
15,0.32293,0,0
16,0.345996,0,0
17,0.369063,0,0
18,0.392129,0,0
19,0.415196,0,0
20,0.438262,0,0
21,0.461329,0,0
22,0.484395,0,0
23,0.507461,0,0
24,0.530528,0,0
25,0.553594,0,0
26,0.576661,0,0
27,0.599727,0,0
28,0.622794,0,0
29,0.64586,0,0
30,0.668926,0,0
31,0.691993,0,0
32,0.715059,0,0
33,0.738126,0,0
34,0.761192,0,0
35,0.784259,0,0
36,0.807325,0,0
37,0.830391,0,0
38,0.853458,0,0
39,0.876524,9.57327e-05,4.12058e-05
40,0.899591,0.00314817,0.000243856
41,0.922657,0.0483533,0.00105276
42,0.945724,0.29084,0.00346395
43,0.96879,1.00142,0.00649401
44,0.991856,2.23959,0.00809412
45,1.01492,3.62328,0.00674818
46,1.03799,4.62238,0.00784299
47,1.06106,4.89112,0.00976783
48,1.08412,4.48814,0.012093
49,1.10719,3.67549,0.00978049
50,1.13026,2.69745,0.00626004
51,1.15332,1.81484,0.00384638
52,1.17639,1.12912,0.00410221
53,1.19945,0.654258,0.00448505
54,1.22252,0.354614,0.003241
55,1.24559,0.177528,0.00237029
56,1.26865,0.0881299,0.00185529
57,1.29172,0.0477216,0.00130072
58,1.31479,0.0427021,0.00131125
59,1.33785,0.0611867,0.00131013
60,1.36092,0.106279,0.00167765
61,1.38399,0.185188,0.00202496
62,1.40705,0.303678,0.00215445
63,1.43012,0.451963,0.00200147
64,1.45319,0.627073,0.0018916
65,1.47625,0.79351,0.00276378
66,1.49932,0.920654,0.00407109
67,1.52238,0.966179,0.00486745
68,1.54545,0.931405,0.0039462
69,1.56852,0.810921,0.00297876
70,1.59158,0.641284,0.00205423
71,1.61465,0.466454,0.00169865
72,1.63772,0.315511,0.00205642
73,1.66078,0.219778,0.00240803
74,1.68385,0.192097,0.00262607
75,1.70692,0.254992,0.00340955
76,1.72998,0.432669,0.00372538
77,1.75305,0.747176,0.00394451
78,1.77612,1.19352,0.0036566
79,1.79918,1.72729,0.00275438
80,1.82225,2.23691,0.00403318
81,1.84531,2.60017,0.00655817
82,1.86838,2.71967,0.00857058
83,1.89145,2.55734,0.00705985
84,1.91451,2.18358,0.00497111
85,1.93758,1.69178,0.00282217
86,1.96065,1.19938,0.00280531
87,1.98371,0.799938,0.00380146
88,2.00678,0.542379,0.00424656
89,2.02985,0.432076,0.00397992
90,2.05291,0.459794,0.00333787
91,2.07598,0.584089,0.002528
92,2.09905,0.755777,0.00174926
93,2.12211,0.921906,0.00187321
94,2.14518,1.01321,0.00306751
95,2.16824,1.02502,0.00342579
96,2.19131,0.921226,0.0024107
97,2.21438,0.780373,0.00153314
98,2.23744,0.652723,0.00217406
99,2.26051,0.571425,0.00318904
100,2.28358,0.573395,0.00424708
